Event Category,Event Name,Event Description,Trigger/When,User Properties,Event Properties,Funnel,Priority,Implementation Notes
MANAGE - Containers,Container Creation Failed,Router creation failed,On API error,user_id|user_role,error_message|session_id,Router Management,Critical,Creation failure
MANAGE - Containers,Container Modified,User updates router,On edit save,user_id|user_role,router_id|modification_type|session_id,Router Management,Medium,Router update
MANAGE - Containers,Container Deleted,User removes router,On delete confirm,user_id|user_role,connection_id|router_id|session_id,Router Management,High,Router removal
MANAGE - Containers,Container Details Viewed,User views router details page,On router detail navigation,user_id|user_role,router_id|session_id,Router Management,High,Router detail access

MANAGE - Groups,Group List Viewed,User views groups page,On groups page load,user_id|user_role,group_count|session_id,General Usage,High,Group list access
MANAGE - Groups,Group Created,New group created,On group creation,user_id|user_role|account_type,group_name|group_type|member_count|session_id,Group Management,Critical,Group creation
MANAGE - Groups,Group Details Viewed,User views group details,On group detail page load,user_id|user_role,group_id|group_type|member_count|session_id,General Usage,High,Group detail access
MANAGE - Groups,Group Modified - Name,User renames group,On name save,user_id|user_role,group_id|old_name|new_name|session_id,Group Management,Medium,Name update
MANAGE - Groups,Group Modified - Description,User updates group description,On description save,user_id|user_role,group_id|session_id,Group Management,Low,Description update
MANAGE - Groups,Group Modified - Settings,User changes group settings,On settings save,user_id|user_role,group_id|setting_changed|old_value|new_value|session_id,Group Management,Medium,Settings update
MANAGE - Groups,Member Added to Group,User adds member to group,On member add,user_id|user_role,group_id|member_id|member_role|invitation_method|session_id,Group Management,High,Member addition
MANAGE - Groups,Member Removed from Group,User removes member,On member remove,user_id|user_role,group_id|member_id|removal_reason|session_id,Group Management,High,Member removal
MANAGE - Groups,Member Role Changed in Group,User changes member role,On role change,user_id|user_role,group_id|member_id|old_role|new_role|session_id,Group Management,High,Role modification
MANAGE - Groups,Connection Added to Group,Connection assigned to group,On assignment,user_id|user_role,group_id|connection_id|session_id,Group Management,High,Connection assignment
MANAGE - Groups,Connection Removed from Group,Connection unassigned from group,On removal,user_id|user_role,group_id|connection_id|session_id,Group Management,High,Connection unassignment
MANAGE - Groups,Group Deleted,Group removed,On delete confirm,user_id|user_role,group_id|group_age_days|member_count|deletion_reason|session_id,Group Management,Critical,Group deletion

MANAGE - Policies,Policies Tab Viewed,User views policies configuration,On policies tab click,user_id|user_role,connection_id|policy_count|session_id,Policy Management,High,Policy access
MANAGE - Policies,Policy Type Selected,User selects policy category,On policy type tab click,user_id|user_role,policy_type|session_id,Policy Management,High,Policy category
MANAGE - Policies,Routing Policy Created,User creates routing policy,On policy save,user_id|user_role,connection_id|policy_name|routing_protocol|session_id,Policy Management,Critical,Routing policy
MANAGE - Policies,Routing Policy Modified,User updates routing policy,On policy update,user_id|user_role,connection_id|policy_id|modification_type|session_id,Policy Management,High,Policy update
MANAGE - Policies,Routing Policy Deleted,User removes routing policy,On policy delete,user_id|user_role,connection_id|policy_id|session_id,Policy Management,High,Policy removal
MANAGE - Policies,Access Control Policy Created,User creates ACL,On ACL save,user_id|user_role,connection_id|acl_name|rule_count|session_id,Policy Management,Critical,ACL creation
MANAGE - Policies,Access Control Rule Added,User adds ACL rule,On rule add,user_id|user_role,connection_id|policy_id|rule_action|session_id,Policy Management,High,ACL rule
MANAGE - Policies,Bandwidth Policy Created,User creates bandwidth policy,On policy save,user_id|user_role,connection_id|policy_name|bandwidth_limits|session_id,Policy Management,High,Bandwidth policy
MANAGE - Policies,QoS Policy Applied,User applies QoS policy,On policy apply,user_id|user_role,connection_id|qos_class|session_id,Policy Management,High,QoS configuration

MONITOR - Dashboard,Monitoring Dashboard Viewed,User views monitoring dashboard,On dashboard page load,user_id|user_role,dashboard_type|time_range|session_id,General Usage,Critical,Dashboard access
MONITOR - Dashboard,Dashboard Time Range Changed,User changes time range,On time range selector change,user_id|user_role,dashboard_type|old_range|new_range|session_id,General Usage,High,Time range adjustment
MONITOR - Dashboard,Dashboard Auto-Refresh Toggled,User enables/disables auto-refresh,On refresh toggle,user_id|user_role,enabled|refresh_interval|session_id,General Usage,Medium,Auto-refresh setting
MONITOR - Dashboard,Dashboard Refreshed,User manually refreshes dashboard,On refresh button click,user_id|user_role,dashboard_type|session_id,General Usage,Medium,Manual refresh
MONITOR - Dashboard,Dashboard Filter Applied,User filters dashboard data,On filter change,user_id|user_role,filter_type|filter_value|session_id,General Usage,High,Dashboard filtering
MONITOR - Dashboard,Dashboard Exported,User exports dashboard data,On export button,user_id|user_role,dashboard_type|export_format|time_range|session_id,General Usage,Medium,Data export

MONITOR - Metrics,Metrics Tab Viewed,User views metrics tab,On metrics tab click,user_id|user_role,resource_id|resource_type|session_id,Metrics,Critical,Metrics access
MONITOR - Metrics,Metric Chart Viewed,User views specific metric chart,On chart display,user_id|user_role,metric_name|metric_category|time_range|session_id,Metrics,High,Chart viewing
MONITOR - Metrics,Metric Chart Interacted,User interacts with chart,On chart click/hover,user_id|user_role,metric_name|interaction_type|data_point|session_id,Metrics,Medium,Chart interaction
MONITOR - Metrics,Metric Chart Zoomed,User zooms into time range,On zoom interaction,user_id|user_role,metric_name|zoom_start|zoom_end|session_id,Metrics,Medium,Chart zoom
MONITOR - Metrics,Metric Threshold Configured,User sets metric threshold,On threshold save,user_id|user_role,metric_name|threshold_value|threshold_type|session_id,Metrics,High,Threshold configuration
MONITOR - Metrics,Custom Metric Created,User creates custom metric,On metric definition save,user_id|user_role,metric_name|metric_formula|session_id,Metrics,Medium,Custom metrics
MONITOR - Metrics,Metric Comparison Enabled,User compares multiple metrics,On comparison toggle,user_id|user_role,metrics_compared|session_id,Metrics,Medium,Metric comparison

MONITOR - Alerts,Alerts Tab Viewed,User views alerts tab,On alerts tab click,user_id|user_role,active_alert_count|session_id,Alerts,Critical,Alert list access
MONITOR - Alerts,Alert Rule Created,User creates alert rule,On alert rule save,user_id|user_role,alert_name|alert_type|metric|threshold|notification_method|session_id,Alerts,Critical,Alert creation
MONITOR - Alerts,Alert Rule Modified,User updates alert rule,On alert rule update,user_id|user_role,alert_id|modification_type|session_id,Alerts,High,Alert modification
MONITOR - Alerts,Alert Rule Deleted,User removes alert rule,On alert rule delete,user_id|user_role,alert_id|alert_name|session_id,Alerts,High,Alert removal
MONITOR - Alerts,Alert Rule Enabled,User activates alert rule,On enable toggle,user_id|user_role,alert_id|session_id,Alerts,High,Alert activation
MONITOR - Alerts,Alert Rule Disabled,User deactivates alert rule,On disable toggle,user_id|user_role,alert_id|disable_reason|session_id,Alerts,High,Alert deactivation
MONITOR - Alerts,Alert Triggered,Alert condition met,On threshold breach,system|affected_user_ids,alert_id|alert_name|metric_value|threshold|resource_id|severity|session_id,Alerts,Critical,Alert firing
MONITOR - Alerts,Alert Viewed,User views alert details,On alert click,user_id|user_role,alert_id|alert_status|time_since_trigger|session_id,Alerts,High,Alert review
MONITOR - Alerts,Alert Acknowledged,User acknowledges alert,On acknowledge button,user_id|user_role,alert_id|acknowledgment_note|time_to_acknowledge|session_id,Alerts,Critical,Alert acknowledgment
MONITOR - Alerts,Alert Resolved,User marks alert as resolved,On resolve button,user_id|user_role,alert_id|resolution_note|time_to_resolve|session_id,Alerts,Critical,Alert resolution
MONITOR - Alerts,Alert Dismissed,User dismisses alert,On dismiss button,user_id|user_role,alert_id|dismissal_reason|session_id,Alerts,High,Alert dismissal
MONITOR - Alerts,Alert Notification Sent,System sends alert notification,On notification trigger,system,alert_id|notification_method|recipient_count|session_id,Alerts,Critical,Notification delivery
MONITOR - Alerts,Alert Filter Applied,User filters alert list,On filter change,user_id|user_role,filter_type|filter_value|results_count|session_id,Alerts,Medium,Alert filtering
MONITOR - Alerts,Alert History Viewed,User views alert history,On history tab click,user_id|user_role,time_range|session_id,Alerts,Medium,Historical alerts

MONITOR - Logs,Logs Tab Viewed,User views logs tab,On logs tab click,user_id|user_role,resource_id|resource_type|session_id,Logs,High,Log access
MONITOR - Logs,Log Entry Viewed,User views log details,On log entry click,user_id|user_role,log_id|log_level|session_id,Logs,Medium,Log detail
MONITOR - Logs,Log Filter Applied,User filters logs,On filter change,user_id|user_role,filter_type|filter_value|results_count|session_id,Logs,High,Log filtering
MONITOR - Logs,Log Search Performed,User searches logs,On search submit,user_id|user_role,search_query|results_count|session_id,Logs,High,Log search
MONITOR - Logs,Log Level Filter Changed,User filters by log level,On level filter,user_id|user_role,log_level|session_id,Logs,Medium,Level filtering
MONITOR - Logs,Log Time Range Changed,User changes log time range,On time range change,user_id|user_role,time_range|session_id,Logs,Medium,Time range
MONITOR - Logs,Log Exported,User exports logs,On export button,user_id|user_role,export_format|log_count|time_range|session_id,Logs,Medium,Log export
MONITOR - Logs,Log Rule Created,User creates log processing rule,On rule save,user_id|user_role,rule_name|rule_type|session_id,Logs,Medium,Log rule creation

MONITOR - Reports,Reports Tab Viewed,User views reports tab,On reports tab click,user_id|user_role,session_id,Reports,High,Report access
MONITOR - Reports,Report Generated,User generates report,On generate button,user_id|user_role,report_type|report_name|time_range|session_id,Reports,Critical,Report generation
MONITOR - Reports,Report Scheduled,User schedules recurring report,On schedule save,user_id|user_role,report_type|schedule_frequency|recipients|session_id,Reports,High,Report scheduling
MONITOR - Reports,Report Downloaded,User downloads report,On download button,user_id|user_role,report_id|report_format|session_id,Reports,High,Report download
MONITOR - Reports,Report Shared,User shares report,On share button,user_id|user_role,report_id|share_method|recipient_count|session_id,Reports,Medium,Report sharing
MONITOR - Reports,Report Template Created,User creates report template,On template save,user_id|user_role,template_name|included_metrics|session_id,Reports,Medium,Template creation
MONITOR - Reports,Report Template Applied,User uses report template,On template selection,user_id|user_role,template_id|template_name|session_id,Reports,Medium,Template usage

CONFIGURE - User Management,User Management Viewed,User views user management page,On user management page load,user_id|user_role,user_count|session_id,User Management,High,User list access
CONFIGURE - User Management,User Created,New user added,On user creation,user_id|user_role,new_user_id|new_user_role|invitation_method|session_id,User Management,Critical,User provisioning
CONFIGURE - User Management,User Modified,User details updated,On user update,user_id|user_role,target_user_id|modification_type|session_id,User Management,High,User modification
CONFIGURE - User Management,User Deleted,User removed,On user deletion,user_id|user_role,target_user_id|deletion_reason|session_id,User Management,Critical,User removal
CONFIGURE - User Management,User Suspended,User account suspended,On suspension,user_id|user_role,target_user_id|suspension_reason|suspension_duration|session_id,User Management,Critical,Account suspension
CONFIGURE - User Management,User Reactivated,Suspended user reactivated,On reactivation,user_id|user_role,target_user_id|session_id,User Management,High,Account reactivation
CONFIGURE - User Management,User Password Reset,Password reset initiated,On reset trigger,user_id|user_role,target_user_id|reset_method|session_id,User Management,High,Password reset
CONFIGURE - User Management,User Invitation Sent,Invitation sent to new user,On invite send,user_id|user_role,invited_email|invited_role|session_id,User Management,High,User invitation
CONFIGURE - User Management,User Invitation Accepted,New user accepts invitation,On invitation acceptance,new_user_id,invitation_age_hours|session_id,User Management,High,Invitation acceptance
CONFIGURE - User Management,User Invitation Resent,Invitation resent,On resend button,user_id|user_role,invitation_id|session_id,User Management,Medium,Invitation resend
CONFIGURE - User Management,User Bulk Import Started,Bulk user import initiated,On import file upload,user_id|user_role,file_name|user_count|session_id,User Management,High,Bulk import
CONFIGURE - User Management,User Bulk Import Completed,Bulk import finished,On import completion,user_id|user_role,users_imported|users_failed|session_id,User Management,High,Import completion

CONFIGURE - RBAC,Role Management Viewed,User views role management,On RBAC page load,user_id|user_role,role_count|session_id,RBAC,Critical,RBAC access
CONFIGURE - RBAC,Role Assigned,User role assigned,On role assignment,user_id|user_role,target_user_id|role_assigned|scope_type|scope_id|session_id,RBAC,Critical,Role assignment
CONFIGURE - RBAC,Role Changed,User role changed,On role change,user_id|user_role,target_user_id|old_role|new_role|scope_type|scope_id|session_id,RBAC,Critical,Role change
CONFIGURE - RBAC,Role Removed,User role removed,On role removal,user_id|user_role,target_user_id|role_removed|scope_type|scope_id|session_id,RBAC,Critical,Role removal
CONFIGURE - RBAC,Permission Requested,User requests permission,On permission request,user_id|user_role,permission_requested|resource_type|resource_id|request_reason|session_id,RBAC,Critical,Permission request
CONFIGURE - RBAC,Permission Granted,Permission request approved,On approval,user_id|user_role,requester_user_id|permission_granted|resource_type|resource_id|session_id,RBAC,Critical,Permission approval
CONFIGURE - RBAC,Permission Denied,Permission request denied,On denial,user_id|user_role,requester_user_id|permission_denied|resource_type|resource_id|denial_reason|session_id,RBAC,Critical,Permission denial
CONFIGURE - RBAC,Access Denied - Unauthorized,User attempts unauthorized action,On permission check failure,user_id|user_role,action_attempted|resource_type|resource_id|required_permission|session_id,Security,Critical,Unauthorized access
CONFIGURE - RBAC,Scope Filter Applied,User filters by scope,On scope filter change,user_id|user_role,scope_type|scope_value|results_count|session_id,RBAC,High,Scope filtering
CONFIGURE - RBAC,Impersonation Started,Admin impersonates user,On impersonation start,user_id|user_role,target_user_id|impersonation_reason|session_id,Security,Critical,Impersonation start
CONFIGURE - RBAC,Impersonation Ended,Admin stops impersonating,On impersonation end,user_id|user_role,target_user_id|impersonation_duration|actions_performed|session_id,Security,Critical,Impersonation end
CONFIGURE - RBAC,Role Definition Created,Custom role created,On role creation,user_id|user_role,role_name|permissions_count|session_id,RBAC,High,Custom role
CONFIGURE - RBAC,Role Definition Modified,Custom role updated,On role update,user_id|user_role,role_id|modification_type|session_id,RBAC,High,Role modification
CONFIGURE - RBAC,Role Definition Deleted,Custom role removed,On role deletion,user_id|user_role,role_id|users_affected|session_id,RBAC,High,Role removal
CONFIGURE - RBAC,Permission Matrix Viewed,User views permission matrix,On matrix page load,user_id|user_role,session_id,RBAC,Medium,Permission visibility

CONFIGURE - Billing,Billing Page Viewed,User views billing page,On billing page load,user_id|user_role|account_type,current_plan|session_id,Billing,High,Billing access
CONFIGURE - Billing,Billing Plan Changed,User changes subscription plan,On plan change,user_id|user_role|account_id,old_plan|new_plan|price_delta|session_id,Billing,Critical,Plan change
CONFIGURE - Billing,Payment Method Added,User adds payment method,On payment method save,user_id|account_id,payment_method_type|session_id,Billing,Critical,Payment addition
CONFIGURE - Billing,Payment Method Deleted,User removes payment method,On payment method delete,user_id|account_id,payment_method_type|session_id,Billing,High,Payment removal
CONFIGURE - Billing,Payment Method Set as Default,User changes default payment,On default change,user_id|account_id,payment_method_type|session_id,Billing,Medium,Default payment
CONFIGURE - Billing,Invoice Viewed,User views invoice,On invoice click,user_id|account_id,invoice_id|invoice_date|invoice_amount|session_id,Billing,High,Invoice viewing
CONFIGURE - Billing,Invoice Downloaded,User downloads invoice,On download button,user_id|account_id,invoice_id|invoice_format|session_id,Billing,Medium,Invoice download
CONFIGURE - Billing,Usage Metrics Viewed,User views usage metrics,On usage tab click,user_id|account_id,time_range|session_id,Billing,High,Usage visibility
CONFIGURE - Billing,Billing Alert Created,User sets billing alert,On alert save,user_id|account_id,alert_threshold|alert_type|session_id,Billing,Medium,Billing alert
CONFIGURE - Billing,Billing Cycle Changed,User changes billing cycle,On cycle change,user_id|account_id,old_cycle|new_cycle|session_id,Billing,Medium,Cycle change

CONFIGURE - System Settings,Settings Page Viewed,User views settings page,On settings page load,user_id|user_role,settings_category|session_id,Configuration,High,Settings access
CONFIGURE - System Settings,Setting Changed,User modifies setting,On setting save,user_id|user_role,setting_category|setting_name|old_value|new_value|session_id,Configuration,High,Setting modification
CONFIGURE - System Settings,Settings Exported,User exports settings,On export button,user_id|user_role,export_format|settings_count|session_id,Configuration,Medium,Settings export
CONFIGURE - System Settings,Settings Imported,User imports settings,On import completion,user_id|user_role,import_format|settings_imported|session_id,Configuration,Medium,Settings import
CONFIGURE - System Settings,Notification Preferences Changed,User updates notifications,On preference save,user_id|user_role,notification_type|enabled|session_id,Configuration,Medium,Notification settings
CONFIGURE - System Settings,Email Notifications Toggled,User enables/disables email,On email toggle,user_id|user_role,enabled|session_id,Configuration,Medium,Email settings
CONFIGURE - System Settings,SMS Notifications Toggled,User enables/disables SMS,On SMS toggle,user_id|user_role,enabled|session_id,Configuration,Medium,SMS settings
CONFIGURE - System Settings,Webhook Configured,User sets up webhook,On webhook save,user_id|user_role,webhook_url|webhook_events|session_id,Configuration,High,Webhook setup
CONFIGURE - System Settings,API Key Generated,User creates API key,On generate button,user_id|user_role,key_name|permissions|session_id,Configuration,Critical,API key creation
CONFIGURE - System Settings,API Key Revoked,User deletes API key,On revoke button,user_id|user_role,key_name|key_age|session_id,Configuration,Critical,API key revocation
CONFIGURE - System Settings,Timezone Changed,User changes timezone,On timezone save,user_id|user_role,old_timezone|new_timezone|session_id,Configuration,Low,Timezone setting
CONFIGURE - System Settings,Language Changed,User changes language,On language save,user_id|user_role,old_language|new_language|session_id,Configuration,Low,Language setting
CONFIGURE - System Settings,Theme Changed,User changes UI theme,On theme toggle,user_id|user_role,old_theme|new_theme|session_id,Configuration,Low,Theme setting

CONFIGURE - Marketplace,Marketplace Viewed,User views marketplace,On marketplace page load,user_id|user_role,solution_count|category_filter|session_id,Marketplace,Critical,Marketplace access
CONFIGURE - Marketplace,Marketplace Category Selected,User filters by category,On category click,user_id|user_role,category|solutions_in_category|session_id,Marketplace,High,Category filtering
CONFIGURE - Marketplace,Solution Viewed,User views solution details,On solution card click,user_id|user_role,solution_id|solution_name|solution_category|session_id,Marketplace,Critical,Solution interest
CONFIGURE - Marketplace,Solution Deployed,User deploys solution,On deploy button,user_id|user_role|account_type,solution_id|solution_name|solution_category|cost|session_id,Marketplace,Critical,Solution deployment
CONFIGURE - Marketplace,Solution Deployment Failed,Deployment failed,On deployment error,user_id|user_role,solution_id|error_message|session_id,Marketplace,Critical,Deployment failure
CONFIGURE - Marketplace,Solution Configured,User configures solution settings,On config save,user_id|user_role,solution_id|configuration_parameters|session_id,Marketplace,High,Solution configuration
CONFIGURE - Marketplace,Solution Removed,User uninstalls solution,On removal confirmation,user_id|user_role,solution_id|solution_name|time_deployed_days|removal_reason|session_id,Marketplace,High,Solution removal
CONFIGURE - Marketplace,Solution Rated,User rates solution,On rating submit,user_id|user_role,solution_id|rating|session_id,Marketplace,Medium,Solution feedback
CONFIGURE - Marketplace,Solution Reviewed,User writes solution review,On review submit,user_id|user_role,solution_id|review_rating|review_length|session_id,Marketplace,Medium,Solution review

Authentication,Login Success,User successfully logs in,On successful authentication,user_id|user_role|account_type,login_method|device_type|browser|os|location|mfa_used|session_id,Authentication,Critical,Login tracking
Authentication,Login Failed,Login attempt fails,On authentication failure,attempted_username,failure_reason|device_type|browser|location|attempt_count|session_id,Security,Critical,Failed login tracking
Authentication,Logout,User logs out,On logout action,user_id,logout_method|session_duration|session_id,Authentication,High,Logout tracking
Authentication,Session Timeout,Session expires,On timeout,user_id,session_duration|last_activity|timeout_reason|session_id,Authentication,High,Session expiry
Authentication,Password Changed,User changes password,On password change success,user_id,change_method|password_strength|session_id,Security,Critical,Password change
Authentication,Password Reset Requested,User requests password reset,On reset request submit,attempted_email,request_method|session_id,Authentication,High,Reset request
Authentication,Password Reset Completed,User completes password reset,On reset completion,user_id,reset_method|time_to_complete|session_id,Authentication,High,Reset completion
Authentication,MFA Enabled,User enables MFA,On MFA setup completion,user_id,mfa_method|session_id,Security,Critical,MFA adoption
Authentication,MFA Disabled,User disables MFA,On MFA removal,user_id,mfa_method|disable_reason|session_id,Security,Critical,MFA removal
Authentication,MFA Challenge Passed,User passes MFA verification,On MFA success,user_id,mfa_method|session_id,Security,High,MFA success
Authentication,MFA Challenge Failed,User fails MFA verification,On MFA failure,user_id,mfa_method|attempt_count|session_id,Security,Critical,MFA failure

Help & Support,Help Panel Opened,User opens help panel,On help button click,user_id|user_role,help_entry_point|page_context|session_id,Support,High,Help access
Help & Support,Help Article Viewed,User views help article,On article click,user_id|user_role,article_id|article_title|article_category|search_query|session_id,Support,High,Article viewing
Help & Support,Help Article Rated Helpful,User marks article helpful,On thumbs up,user_id|user_role,article_id|session_id,Support,Medium,Article feedback
Help & Support,Help Article Rated Unhelpful,User marks article unhelpful,On thumbs down,user_id|user_role,article_id|session_id,Support,Medium,Article feedback
Help & Support,Help Search Performed,User searches help,On help search submit,user_id|user_role,search_query|results_count|session_id,Support,High,Help search
Help & Support,Glossary Opened,User opens glossary,On glossary button click,user_id|user_role,entry_point|session_id,Support,Medium,Glossary access
Help & Support,Glossary Term Viewed,User views term definition,On term click,user_id|user_role,term|term_category|page_context|session_id,Support,Medium,Term lookup
Help & Support,Tour Started,User starts product tour,On tour start button,user_id|user_role,tour_type|tour_id|entry_point|session_id,Onboarding,Critical,Tour start
Help & Support,Tour Step Completed,User completes tour step,On step completion,user_id|user_role,tour_id|step_number|step_name|time_on_step|session_id,Onboarding,Critical,Tour progress
Help & Support,Tour Completed,User finishes product tour,On tour completion,user_id|user_role,tour_id|tour_duration|steps_completed|session_id,Onboarding,Critical,Tour completion
Help & Support,Tour Skipped,User exits tour early,On tour skip/close,user_id|user_role,tour_id|step_at_skip|skip_reason|session_id,Onboarding,Critical,Tour abandonment
Help & Support,Feedback Form Opened,User opens feedback form,On feedback button,user_id|user_role,form_type|page_context|session_id,Feedback,High,Feedback access
Help & Support,Feedback Submitted,User submits feedback,On feedback submit,user_id|user_role,feedback_type|feedback_rating|feedback_length|page_context|session_id,Feedback,Critical,Feedback submission
Help & Support,Support Ticket Created,User creates support ticket,On ticket submit,user_id|user_role,ticket_category|priority|page_context|session_id,Support,Critical,Ticket creation
Help & Support,Chat Support Opened,User opens chat widget,On chat button click,user_id|user_role,page_context|session_id,Support,High,Chat access
Help & Support,Chat Message Sent,User sends chat message,On message send,user_id|user_role,message_number|conversation_id|session_id,Support,Medium,Chat interaction

Errors & Performance,Error Occurred,Application error happens,On error catch,user_id|user_role,error_type|error_message|error_stack|page_context|component_name|session_id,Error Monitoring,Critical,Error tracking
Errors & Performance,API Error,API call fails,On API error response,user_id|user_role,api_endpoint|http_status|error_code|error_message|session_id,Error Monitoring,Critical,API failure
Errors & Performance,Network Error,Network request fails,On network failure,user_id|user_role,request_url|error_type|session_id,Error Monitoring,High,Network issues
Errors & Performance,Performance Issue - Page Load,Slow page load detected,On load time threshold exceeded,user_id|user_role,page_name|load_time_ms|threshold_ms|session_id,Performance,High,Page performance
Errors & Performance,Performance Issue - API Response,Slow API response detected,On API time threshold exceeded,user_id|user_role,api_endpoint|response_time_ms|threshold_ms|session_id,Performance,High,API performance
Errors & Performance,Memory Warning,High memory usage detected,On memory threshold exceeded,user_id|user_role,memory_used_mb|page_context|session_id,Performance,Medium,Memory issues
Errors & Performance,Browser Compatibility Issue,Browser-specific error,On compatibility error,user_id|user_role,browser|browser_version|error_type|session_id,Error Monitoring,High,Compatibility tracking

PWA & Mobile,PWA Install Prompt Shown,Browser shows PWA install prompt,On prompt display,user_id,device_type|browser|os|session_id,PWA,High,Install prompt
PWA & Mobile,PWA Installed,User installs PWA,On install confirmation,user_id,device_type|browser|os|install_source|session_id,PWA,Critical,PWA installation
PWA & Mobile,PWA Install Dismissed,User dismisses install prompt,On prompt dismiss,user_id,device_type|session_id,PWA,High,Install dismissal
PWA & Mobile,PWA Launched,User launches PWA,On PWA app start,user_id,device_type|launch_source|session_id,PWA,High,PWA usage
PWA & Mobile,PWA Updated,Service worker updated,On SW update,user_id,version_from|version_to|session_id,PWA,Medium,PWA update
PWA & Mobile,Offline Mode Activated,User goes offline,On offline detection,user_id,page_context|session_id,PWA,High,Offline detection
PWA & Mobile,Offline Mode Deactivated,User comes back online,On online detection,user_id,offline_duration|session_id,PWA,High,Online detection
PWA & Mobile,Offline Action Queued,User performs action offline,On offline action,user_id,action_type|session_id,PWA,High,Offline actions
PWA & Mobile,Offline Action Synced,Queued action synced when online,On action sync,user_id,action_type|queue_time|session_id,PWA,High,Action sync
PWA & Mobile,Mobile Menu Opened,User opens mobile menu,On mobile menu toggle,user_id|user_role,page_context|session_id,Mobile,Medium,Mobile navigation
PWA & Mobile,Mobile Gesture Used,User performs mobile gesture,On gesture detection,user_id,gesture_type|page_context|session_id,Mobile,Low,Mobile interaction

Sandbox Testing,Sandbox Access Granted,Stakeholder logs into sandbox,On sandbox authentication success,stakeholder_id|stakeholder_role|stakeholder_company,sandbox_environment|feature_being_tested|prototype_version|session_id,Sandbox Testing,Critical,Sandbox login
Sandbox Testing,Sandbox Access Denied,Stakeholder login fails,On sandbox auth failure,attempted_stakeholder_email,failure_reason|session_id,Sandbox Testing,Critical,Access failure
Sandbox Testing,Sandbox Feature Accessed,Stakeholder navigates to feature,On feature page load,stakeholder_id|stakeholder_role,feature_name|feature_category|session_id,Sandbox Testing,Critical,Feature access
Sandbox Testing,Sandbox Feature Interacted,Stakeholder interacts with feature,On feature interaction,stakeholder_id|stakeholder_role,feature_name|interaction_type|element_interacted|session_id,Sandbox Testing,Critical,Feature interaction
Sandbox Testing,Sandbox Test Scenario Started,Stakeholder begins test scenario,On scenario start,stakeholder_id|stakeholder_role,test_scenario_id|test_scenario_name|session_id,Sandbox Testing,High,Scenario start
Sandbox Testing,Sandbox Test Scenario Completed,Stakeholder finishes test scenario,On scenario completion,stakeholder_id|stakeholder_role,test_scenario_id|completion_time|success|session_id,Sandbox Testing,High,Scenario completion
Sandbox Testing,Sandbox Feedback Form Opened,Stakeholder opens feedback form,On feedback button click,stakeholder_id|stakeholder_role,feature_name|page_context|session_id,Sandbox Testing,Critical,Feedback access
Sandbox Testing,Sandbox Feedback Submitted,Stakeholder submits feedback,On feedback submit,stakeholder_id|stakeholder_role,feature_name|feedback_type|rating|comment_length|severity|session_id,Sandbox Testing,Critical,Feedback submission
Sandbox Testing,Sandbox Issue Reported,Stakeholder reports issue,On issue report submit,stakeholder_id|stakeholder_role,feature_name|issue_type|severity|session_id,Sandbox Testing,Critical,Issue reporting
Sandbox Testing,Sandbox Session Ended,Stakeholder logs out of sandbox,On sandbox logout,stakeholder_id|stakeholder_role,session_duration|pages_visited|features_tested|feedback_submitted_count|session_id,Sandbox Testing,Critical,Session end
Sandbox Testing,Sandbox Recording Started,Screen recording initiated,On recording start,stakeholder_id|stakeholder_role,feature_being_recorded|session_id,Sandbox Testing,Medium,Recording start
Sandbox Testing,Sandbox Recording Stopped,Screen recording ended,On recording stop,stakeholder_id|stakeholder_role,recording_duration|session_id,Sandbox Testing,Medium,Recording end
Sandbox Testing,Sandbox Annotation Added,Stakeholder adds annotation,On annotation create,stakeholder_id|stakeholder_role,annotation_type|feature_context|session_id,Sandbox Testing,Medium,Annotation
Sandbox Testing,Sandbox Help Requested,Stakeholder requests assistance,On help button click,stakeholder_id|stakeholder_role,help_topic|feature_context|session_id,Sandbox Testing,High,Help request
